,City Name,Country Code,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,upernavik,gl,72.79,-56.15,12.9,87.0,44.0,3.69
1,khatanga,ru,71.98,102.47,-5.19,68.0,80.0,7.38
2,cape town,za,-33.93,18.42,77.0,50.0,20.0,14.99
3,ampanihy,mg,-24.69,44.75,92.28,60.0,0.0,4.03
4,carnduff,ca,49.17,-101.8,3.9,51.0,0.0,2.91
5,vaini,to,-21.2,-175.2,80.6,88.0,75.0,8.39
7,trelew,ar,-43.25,-65.31,64.56,38.0,0.0,11.97
10,henties bay,na,-22.12,14.28,64.56,100.0,36.0,5.14
11,albany,au,-35.02,117.88,74.82,51.0,0.0,11.63
12,georgetown,sh,-7.93,-14.42,78.65,100.0,8.0,13.65
13,edgewater,us,28.99,-80.9,67.57,88.0,1.0,6.93
14,rundu,na,-17.91,19.77,78.65,68.0,36.0,8.16
15,ancud,cl,-41.87,-73.83,55.7,99.0,92.0,2.68
16,boa vista,br,2.82,-60.67,78.8,74.0,0.0,4.7
17,barrow,us,39.51,-90.4,51.89,100.0,90.0,8.05
18,camacha,pt,33.08,-16.33,65.41,72.0,20.0,18.34
19,rikitea,pf,-23.12,-134.97,81.03,100.0,88.0,16.44
20,seoul,kr,37.57,126.98,30.94,58.0,20.0,14.99
21,klaksvik,fo,62.23,-6.59,32.0,100.0,76.0,8.05
23,boke,gn,10.95,-14.28,80.18,45.0,24.0,7.38
25,quatre cocos,mu,-20.21,57.76,84.2,74.0,40.0,11.41
26,lagoa,pt,37.14,-8.45,60.8,87.0,40.0,27.51
27,puerto ayora,ec,-0.74,-90.35,77.84,100.0,32.0,3.69
29,saint-francois,gp,16.25,-61.27,64.4,93.0,48.0,1.12
30,punta arenas,cl,-53.16,-70.91,44.6,81.0,20.0,26.4
31,kembe,cf,4.62,21.89,85.58,75.0,20.0,10.51
32,saint-augustin,ca,45.63,-73.98,33.8,91.0,90.0,3.36
34,tilichiki,ru,60.47,166.1,9.03,68.0,48.0,3.47
35,hithadhoo,mv,-0.6,73.08,83.91,100.0,68.0,9.73
36,pangnirtung,ca,66.15,-65.72,21.14,72.0,80.0,1.23
37,hermanus,za,-34.42,19.24,71.0,60.0,76.0,5.14
38,castro,cl,-42.48,-73.76,54.3,99.0,100.0,3.13
39,hobart,au,-42.88,147.33,60.8,72.0,20.0,10.29
40,bredasdorp,za,-34.53,20.04,77.0,53.0,75.0,11.41
42,nara,ml,15.17,-7.29,88.01,29.0,8.0,7.16
43,guerrero negro,mx,27.97,-114.04,46.56,99.0,0.0,5.93
44,numan,ng,9.46,12.04,92.15,35.0,0.0,9.95
48,vilyuysk,ru,63.75,121.63,-13.92,63.0,0.0,5.14
50,busselton,au,-33.64,115.35,74.37,86.0,0.0,17.56
51,butaritari,ki,3.07,172.79,81.57,100.0,56.0,11.63
52,mecca,sa,21.43,39.83,86.0,22.0,0.0,8.95
55,kaitangata,nz,-46.28,169.85,59.66,92.0,92.0,4.03
56,mount isa,au,-20.73,139.49,80.6,74.0,40.0,8.05
58,morondava,mg,-20.3,44.28,88.01,80.0,24.0,5.93
59,vestmannaeyjar,is,63.44,-20.27,37.4,93.0,75.0,29.97
61,tautira,pf,-17.73,-149.15,78.8,78.0,75.0,2.24
62,nouadhibou,mr,20.93,-17.03,69.8,77.0,80.0,10.29
65,bluff,nz,-46.6,168.33,62.09,94.0,88.0,9.95
66,luganville,vu,-15.51,167.18,75.68,100.0,92.0,3.8
67,ushuaia,ar,-54.81,-68.31,44.6,81.0,40.0,14.99
68,linao,ph,11.02,124.59,80.45,86.0,68.0,7.49
69,kartaly,ru,53.05,60.64,4.04,88.0,0.0,6.15
70,haukipudas,fi,65.17,25.5,12.2,85.0,64.0,2.24
71,eureka,us,40.8,-124.16,46.29,93.0,90.0,12.64
73,ekimchan,ru,53.07,132.94,1.65,53.0,36.0,2.68
74,bokajan,in,26.02,93.78,78.65,59.0,12.0,2.91
75,thompson,ca,55.74,-97.86,8.6,92.0,90.0,2.24
78,avarua,ck,-21.21,-159.78,80.6,83.0,40.0,6.93
79,pevek,ru,69.7,170.27,15.51,79.0,80.0,10.4
80,fortuna,us,40.6,-124.16,46.47,100.0,90.0,5.82
81,new norfolk,au,-42.78,147.06,60.8,72.0,20.0,10.29
84,saskylakh,ru,71.97,114.09,-19.32,83.0,44.0,12.86
86,victoria,sc,-4.62,55.45,86.0,74.0,40.0,12.75
87,coahuayana,mx,18.62,-100.35,56.28,76.0,0.0,1.9
88,kahului,us,20.89,-156.47,67.82,83.0,1.0,8.05
89,baruun-urt,mn,46.68,113.28,17.45,48.0,44.0,14.32
90,necochea,ar,-38.55,-58.74,63.3,86.0,0.0,10.96
91,provideniya,ru,64.42,-173.23,30.0,95.0,92.0,36.46
94,bhinga,in,27.7,81.93,89.9,25.0,0.0,17.67
95,dikson,ru,73.51,80.55,5.52,90.0,56.0,18.68
96,ponta delgada,pt,37.73,-25.67,51.8,76.0,75.0,4.7
98,hilo,us,19.71,-155.08,62.47,83.0,90.0,9.17
100,san patricio,mx,19.22,-104.7,63.26,100.0,0.0,2.91
103,bonthe,sl,7.53,-12.5,79.64,82.0,32.0,3.69
106,sakata,jp,38.92,139.93,43.5,75.0,75.0,36.91
